week,prey_spp,mean_sharp_oi,mean_sharp_oi_se,mean_prey_ai,mean_prey_ai_se,sharp_wt_mean_prey_ai,sharp_wt_mean_prey_ai_se,detected_in_diet,seasonal_mean_prey_ai
9/21/2019,House Finch,0.130040701,0.0102244,1.345514056,0.079205051,0.180312518,0.02519091,yes,1.549705666
9/28/2019,House Finch,0.163891643,0.011887576,1.358595429,0.077534593,0.230569805,0.032543709,yes,1.549705666
10/5/2019,House Finch,0.207526829,0.013673862,1.485810055,0.086702327,0.39457635,0.054044586,yes,1.549705666
10/12/2019,House Finch,0.218119993,0.013912487,1.545551454,0.089335209,0.462962838,0.061721113,yes,1.549705666
10/19/2019,House Finch,0.225497923,0.015898356,1.621835041,0.097939706,0.537321803,0.071352798,yes,1.549705666
10/26/2019,House Finch,0.247060452,0.018963376,1.724371988,0.10272129,0.608549427,0.085370507,yes,1.549705666
11/2/2019,House Finch,0.244498094,0.024041265,1.775671289,0.101504231,0.663636964,0.090616803,yes,1.549705666
11/9/2019,House Finch,0.229027994,0.024248421,1.74070547,0.10263482,0.640545002,0.088223742,yes,1.549705666
11/16/2019,House Finch,0.204150392,0.02358607,1.758175759,0.108936355,0.632933675,0.091959696,yes,1.549705666
11/23/2019,House Finch,0.184173084,0.019180707,1.739425678,0.10884602,0.614152678,0.079362055,yes,1.549705666
11/30/2019,House Finch,0.171803035,0.014657158,1.769368026,0.110775504,0.632124215,0.065013833,yes,1.549705666
8/3/2019,Northern Flicker,0.004296141,0.000326679,0.844787481,0.041672112,0.00455439,0.000395744,no,1.531143757
8/10/2019,Northern Flicker,0.005751341,0.00037618,0.882360648,0.043602032,0.006076425,0.000530369,no,1.531143757
8/17/2019,Northern Flicker,0.010672759,0.000614115,0.887333341,0.045675541,0.010943762,0.000947437,no,1.531143757
8/24/2019,Northern Flicker,0.017598339,0.001465635,0.893618871,0.047351014,0.017279032,0.001912578,no,1.531143757
8/31/2019,Northern Flicker,0.024875634,0.002237459,0.867193726,0.046945122,0.024912313,0.002775945,no,1.531143757
9/7/2019,Northern Flicker,0.04305209,0.00422835,0.874414075,0.04384884,0.046767144,0.005466608,no,1.531143757
9/14/2019,Northern Flicker,0.084831471,0.007041439,0.903741123,0.042632199,0.095001257,0.010015918,no,1.531143757
9/21/2019,Northern Flicker,0.130040701,0.0102244,1.122147249,0.051776343,0.170485607,0.016952283,no,1.531143757
9/28/2019,Northern Flicker,0.163891643,0.011887576,1.443936839,0.070363747,0.268722871,0.026277656,no,1.531143757
10/5/2019,Northern Flicker,0.207526829,0.013673862,1.998307059,0.089106896,0.469861856,0.043768423,no,1.531143757
10/12/2019,Northern Flicker,0.218119993,0.013912487,2.238029922,0.098149387,0.557400739,0.05133525,no,1.531143757
10/19/2019,Northern Flicker,0.225497923,0.015898356,2.343408863,0.101562424,0.606586798,0.059099588,no,1.531143757
10/26/2019,Northern Flicker,0.247060452,0.018963376,2.341449031,0.099364398,0.665800632,0.069782876,no,1.531143757
11/2/2019,Northern Flicker,0.244498094,0.024041265,2.144729844,0.093418256,0.616966987,0.076027403,no,1.531143757
11/9/2019,Northern Flicker,0.229027994,0.024248421,2.060978565,0.089082031,0.568772923,0.074630724,no,1.531143757
11/16/2019,Northern Flicker,0.204150392,0.02358607,1.955231406,0.085238488,0.497360074,0.069446091,no,1.531143757
11/23/2019,Northern Flicker,0.184173084,0.019180707,1.885261098,0.08462934,0.446745071,0.058266727,no,1.531143757
11/30/2019,Northern Flicker,0.171803035,0.014657158,1.873658491,0.089820316,0.430781748,0.049938836,no,1.531143757
8/3/2019,Brewer's Blackbird,0.004296141,0.000326679,0.356235525,0.028277637,0.000193308,0.000137117,yes,1.487051514
8/10/2019,Brewer's Blackbird,0.005751341,0.00037618,0.409092119,0.030545791,0.000855407,0.000403094,yes,1.487051514
8/17/2019,Brewer's Blackbird,0.010672759,0.000614115,0.449918255,0.032003865,0.003828554,0.000911309,yes,1.487051514
8/24/2019,Brewer's Blackbird,0.017598339,0.001465635,0.53781611,0.036774405,0.016551835,0.002236854,yes,1.487051514
8/31/2019,Brewer's Blackbird,0.024875634,0.002237459,0.627318309,0.042481254,0.029496685,0.003767028,yes,1.487051514
9/7/2019,Brewer's Blackbird,0.04305209,0.00422835,0.746883494,0.0522496,0.03733027,0.005077783,yes,1.487051514
9/14/2019,Brewer's Blackbird,0.084831471,0.007041439,0.839654235,0.062834309,0.065788277,0.009460964,yes,1.487051514
9/21/2019,Brewer's Blackbird,0.130040701,0.0102244,1.027363115,0.078032796,0.131805676,0.019847346,yes,1.487051514
9/28/2019,Brewer's Blackbird,0.163891643,0.011887576,1.196545263,0.102197655,0.19148945,0.02987826,yes,1.487051514
10/5/2019,Brewer's Blackbird,0.207526829,0.013673862,1.549578097,0.125716903,0.396694222,0.058196885,yes,1.487051514
10/12/2019,Brewer's Blackbird,0.218119993,0.013912487,1.717207301,0.127151106,0.497384326,0.070290443,yes,1.487051514
10/19/2019,Brewer's Blackbird,0.225497923,0.015898356,1.728815134,0.125867551,0.554448645,0.075069005,yes,1.487051514
10/26/2019,Brewer's Blackbird,0.247060452,0.018963376,1.954957536,0.148070528,0.669149206,0.097874608,yes,1.487051514
11/2/2019,Brewer's Blackbird,0.244498094,0.024041265,2.167132308,0.183763995,0.798995672,0.115047376,yes,1.487051514
11/9/2019,Brewer's Blackbird,0.229027994,0.024248421,2.372779605,0.26455339,0.862588341,0.14288821,yes,1.487051514
11/16/2019,Brewer's Blackbird,0.204150392,0.02358607,2.616525019,0.256671948,0.931753079,0.1526778,yes,1.487051514
11/23/2019,Brewer's Blackbird,0.184173084,0.019180707,2.935232068,0.313127131,1.030440066,0.152248088,yes,1.487051514
11/30/2019,Brewer's Blackbird,0.171803035,0.014657158,3.533873752,0.415046547,1.245978247,0.169185635,yes,1.487051514
8/3/2019,Spotted Towhee,0.004296141,0.000326679,1.395994388,0.076658607,0.008156316,0.000806217,yes,1.460573237
8/10/2019,Spotted Towhee,0.005751341,0.00037618,1.325749312,0.072148681,0.009425289,0.001003918,yes,1.460573237
8/17/2019,Spotted Towhee,0.010672759,0.000614115,1.273424343,0.069908508,0.016554862,0.001595132,yes,1.460573237
8/24/2019,Spotted Towhee,0.017598339,0.001465635,1.25589322,0.070322362,0.027972054,0.003164174,yes,1.460573237
8/31/2019,Spotted Towhee,0.024875634,0.002237459,1.252195215,0.071310587,0.040646455,0.004716489,yes,1.460573237
